timestamp_utc,symbol,side,grade,score,price,rsi_15m,rsi_1h,change_24h_percent,quote_volume_24h,vol_1m,vol_5m,vol_15m,vol_60m,net_vol_1m,net_vol_15m,net_vol_60m,ping_count_24h
2025-11-16T01:24:56.447449,ZENUSDT,BUY,🔥 Strong,8,14.443,54.19359136633134,67.36864053377815,-0.66,96173244.14771,12272.61,62588.96,91866.3,159687.19,-12272.61,140217.31,165407.85000000003,0
2025-11-16T01:30:03.417727,PIVXUSDT,BUY,🔥 Strong,8,0.233,68.57287449392705,60.757314974182435,6.783,2156691.2817,2553.0,0.0,883989.0,923475.0,-2553.0,800113.0,1121238.0,0
2025-11-16T01:50:25.945059,WCTUSDT,BUY,✅ Good,7,0.1146,47.99999999999999,49.295774647887335,1.147,2720172.66223,6383.6,6383.6,190217.8,1398352.6,6383.6,1398352.6,2016853.8,0
2025-11-16T01:52:28.974648,BANKUSDT,BUY,✅ Good,7,0.0548,50.2958579881657,58.2089552238806,7.241,12274003.24261,7306.5,51680.0,399513.1,3716987.4,7306.5,1131058.4,1969033.8000000003,0
2025-11-16T07:39:38.840718,INJUSDT,BUY,✅ Good,7,6.87,44.2477876106195,44.927536231884034,0.439,2904391.2931,2.95,13634.38,18820.22,22905.2,2.95,17951.23,33735.850000000006,0
2025-11-16T07:47:07.005454,WLFIUSDT,BUY,🚀 Very Strong,12,0.149,61.58940397350986,62.7557980900409,4.196,20844967.63069,6610.1,3668245.4,3668245.4,5471322.6,-6610.1,5471322.6,4068740.6,0
2025-11-16T07:52:43.103536,TWTUSDT,BUY,🔥 Strong,8,1.1826,56.86274509803914,42.784810126582286,1.042,1588823.1151,3338.0,5156.0,20937.0,50263.0,3338.0,50260.0,46170.0,0
2025-11-16T07:59:47.822638,WLFIUSDT,BUY,🚀 Very Strong,10,0.1493,62.700964630224995,63.35570469798654,4.187,21285191.21384,356363.7,1152473.3,6870251.9,8673329.1,356363.7,8673329.1,7270747.1,1
2025-11-16T08:00:37.808801,ASTERUSDT,BUY,✅ Good,7,1.174,47.85894206549116,66.39344262295086,2.265,122660872.2645,149996.85,147383.58,147383.58,149996.85,149996.85,998364.4799999999,650388.5199999999,0
2025-11-16T08:00:57.896075,FUSDT,BUY,🔥 Strong,8,0.01132,65.74394463667832,35.860058309037925,-1.651,1306319.18139,1490539.0,1490539.0,1490539.0,1490539.0,1490539.0,2984107.0,16245515.0,1
2025-11-16T09:11:49.198304,RLCUSDT,BUY,✅ Good,7,0.806,67.27272727272728,56.60377358490566,5.085,1268094.7872,15297.0,27105.0,139508.0,139755.8,15297.0,214688.60000000003,743415.1000000001,1
2025-11-16T09:14:21.836105,PHAUSDT,BUY,🚀 Very Strong,9,0.0549,57.44680851063834,48.12286689419795,3.002,2227567.2376,10990.0,79541.0,255233.0,255233.0,10990.0,581081.0,923988.0,1
2025-11-16T09:19:27.199301,NILUSDT,BUY,✅ Good,7,0.196,47.82608695652175,55.45505935556814,13.887,5333688.42896,11824.6,198123.1,198123.1,453134.2,-11824.6,159914.30000000002,2069476.3,0
2025-11-16T09:28:58.787078,COTIUSDT,BUY,✅ Good,7,0.03642,56.35738831615124,44.036697247706435,-0.41,2090380.83327,1974684.0,2090853.0,2355087.0,2448848.0,1974684.0,1354181.0,5559051.0,1
2025-11-16T09:29:10.029339,ZENUSDT,BUY,✅ Good,7,13.977,54.79452054794521,61.42246795677306,-4.063,63481847.06625,5796.38,21321.22,40122.25,65791.91,5796.38,83810.94,224434.13,0
2025-11-16T09:29:38.715454,PAXGUSDT,BUY,🔥 Strong,8,4105.44,66.67483159828629,63.102779573367485,0.694,16684083.59364,0.0,34.826,114.8555,118.9681,0.0,121.5066,257.3694,0
2025-11-16T09:32:34.376322,SCRTUSDT,BUY,✅ Good,7,0.1827,60.330578512396656,54.00000000000003,0.495,1987381.30581,313.5,14357.9,14357.9,128134.3,313.5,39435.700000000004,1232047.1,0
2025-11-16T09:38:39.967270,ENSOUSDT,BUY,✅ Good,7,0.894,54.09836065573771,41.333333333333336,0.0,2129353.79831,267.7,1732.23,9932.63,38853.1,267.7,52701.939999999995,105674.38,0
2025-11-16T09:51:37.840754,BOMEUSDT,BUY,✅ Good,7,0.000829,53.333333333333236,55.65217391304352,0.607,1185002.910454,31501554.0,23211440.0,27004739.0,80318005.0,31501554.0,47453732.0,55242823.0,1
2025-11-16T09:51:40.963541,ETHFIUSDT,BUY,✅ Good,7,0.945,44.444444444444436,48.598130841121495,5.117,9127835.6552,43782.7,45080.0,48919.1,217707.6,43782.7,145998.80000000002,17513.20000000001,1
2025-11-16T09:51:49.995603,SAGAUSDT,BUY,✅ Good,7,0.0862,57.89473684210528,48.31460674157307,0.467,1227593.57635,254365.5,263608.1,286222.9,618929.7,254365.5,340662.9,995486.6000000001,1
2025-11-16T09:52:20.056776,POLUSDT,BUY,✅ Good,7,0.1572,40.2097902097903,50.89285714285717,2.611,7114555.3853,11037.0,5042052.8,7092070.2,8279249.0,11037.0,6588546.0,8832071.0,0
2025-11-16T09:52:54.964605,PENGUUSDT,BUY,✅ Good,7,0.013257,51.08108108108112,57.62616295460951,1.43,10297383.105708,1188618.0,13609108.0,15109999.0,37841974.0,1188618.0,18485999.0,8216032.0,1
2025-11-16T09:53:53.060657,ONDOUSDT,BUY,✅ Good,7,0.5916,55.203619909502464,63.08345120226311,2.424,3966042.20527,6099.3,96934.7,101329.6,279446.5,6099.3,167810.6,477761.5,0
2025-11-16T09:54:26.357940,AUSDT,BUY,✅ Good,7,0.2502,40.69767441860444,49.83050847457624,1.419,2103374.37855,4430.2,93254.5,184619.5,382204.3,-4430.2,382204.3,893782.7,0
2025-11-16T09:54:42.536885,PROVEUSDT,BUY,✅ Good,7,0.5378,64.78328173374607,39.26247288503249,1.453,1869195.97917,6194.3,41223.6,48094.7,178819.4,-6194.3,88656.79999999999,151808.6,0
2025-11-16T09:54:58.103172,USDEUSDT,BUY,🔥 Strong,8,0.9993,26.66666666666667,38.46153846153846,-0.01,28452365.3206,0.0,1128226.0,1138777.0,1158316.0,0.0,1158316.0,5567701.0,0
2025-11-16T09:55:26.398459,MIRAUSDT,BUY,🔥 Strong,8,0.1854,57.57575757575766,60.04228329809733,2.318,1722221.78175,4342.0,4342.0,204433.4,383019.9,-4342.0,282688.5,132140.60000000003,0
2025-11-16T10:04:52.257289,TWTUSDT,BUY,✅ Good,7,1.182,49.68944099378886,49.318801089918274,1.897,1556245.9021,111.0,21355.0,21355.0,21382.0,111.0,17538.0,59711.0,0
2025-11-16T10:07:54.775133,FDUSDUSDT,BUY,🔥 Strong,8,0.9974,25.0,31.25,0.02,215407751.55,493393.0,14681159.0,18623597.0,18623919.0,493393.0,24616990.0,32209289.0,0
2025-11-16T10:12:34.185756,NOMUSDT,BUY,✅ Good,7,0.01332,29.13385826771659,55.140186915887895,0.226,1424937.31421,2910.0,375736.0,556991.0,556991.0,2910.0,559836.0,6496243.0,0
2025-11-16T10:25:59.201487,TAOUSDT,BUY,✅ Good,7,345.9,63.35877862595417,59.870550161812346,2.156,21987083.61336,97.1443,97.1443,726.8356,1139.3388,97.1443,3085.2333,4063.5778999999998,0
2025-11-16T10:28:10.768634,SIGNUSDT,BUY,✅ Good,7,0.0394,48.11815150071464,68.96551724137927,7.24,1656880.42731,1003.0,421164.0,690108.0,875374.0,1003.0,1481235.0,21572452.0,0
2025-11-16T10:29:09.507169,ZKCUSDT,BUY,✅ Good,7,0.1611,51.832460732984316,45.73643410852706,-0.8,1155032.55712,185233.0,189752.8,212447.6,269620.8,185233.0,320863.4,426578.5,1
2025-11-16T10:42:32.411437,PYTHUSDT,BUY,✅ Good,7,0.0935,47.260273972602974,67.79661016949156,2.522,1266135.72964,11186.5,47840.1,106455.9,567018.3,11186.5,1071412.7999999998,2140810.3,1
2025-11-16T10:54:35.003497,JSTUSDT,BUY,✅ Good,7,0.03663,55.6962025316459,57.51633986928155,0.577,1724724.04703,1859.4,17255.6,41426.9,656350.3,1859.4,656350.2999999999,5882580.0,0
2025-11-16T11:03:21.142649,0GUSDT,BUY,✅ Good,7,1.352,45.2054794520548,60.06289308176103,8.594,14900548.17576,1812.52,30549.28,30549.28,30549.28,1812.52,314444.24,468541.1699999999,0
2025-11-16T11:18:34.557647,LAYERUSDT,BUY,✅ Good,7,0.2237,51.85185185185188,59.987819732034126,4.435,1478041.707499,13467.82,60701.87,60701.87,130182.51,-13467.82,58984.94000000001,2451973.11,0
